input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
alternating_sign,openmp,mixed_fp32_fp64,22.0,26050038,8,0.0159078609999999,0.02304893449999995,0.02327782962499995,0.0067302363765434315,0.016420939000000002,0.029174295999999898,0.016042800699999936,0.031726494249999966,0.0256516819999999,0.02657848649999995,1.6125161013162022,1.153132978880217
alternating_sign,openmp,mixed_fp32_fp64,22.0,50000000,8,0.011980118,0.02511586749999995,0.024532978874999962,0.006497879735887106,0.02270644825,0.026495263249999977,0.0155536803,0.032593622549999895,0.044285111,0.045494825,3.696550484728114,1.8113977150102456
ill_scaled,openmp,fp64,1.0,1000000,8,0.000716018,0.0007438144999999501,0.0007584231249999625,4.5116779448896045e-05,0.000728283999999925,0.000772374999999925,0.000719028,0.0008310406,0.000768372,0.0008610564999999,1.0731182735629552,1.1576226330623534
ill_scaled,openmp,fp64,1.0,1919384,8,0.001545719,0.0015769235,0.0016255739999999875,0.00012272677660676759,0.001563169749999925,0.001615631,0.00154949865,0.0018293556999999998,0.001615039,0.00174147599999995,1.044846443629146,1.1043503378571946
ill_scaled,openmp,fp64,1.0,3684032,8,0.0032420729999999,0.0033271195,0.0033256502499999624,5.5966919493968974e-05,0.003296507249999925,0.003372041249999925,0.003246710849999935,0.00338928915,0.00338748,0.00352105499999995,1.0448500080041703,1.0582893100172537
ill_scaled,openmp,fp64,1.0,7071068,8,0.006441279,0.00657363349999995,0.006758210999999988,0.00044833784965645895,0.0065084595,0.0067876715,0.00644544855,0.0075055773999999995,0.0062885119999999,0.00681410549999995,0.9762831263790778,1.0365812910013925
ill_scaled,openmp,fp64,1.0,13572088,8,0.011353566,0.01271525649999995,0.012866280124999963,0.001420307842768429,0.011731430499999924,0.013462877250000001,0.0113830766,0.015007141049999935,0.012690191,0.0129385175,1.1177273290171563,1.0175585132710496
ill_scaled,openmp,fp64,1.0,26050038,8,0.0213091429999999,0.02223091749999995,0.02287717712499995,0.0019321946809469752,0.02197892725,0.022700076499999923,0.021531395099999934,0.026026984449999933,0.021340878,0.022183496499999948,1.0014892668372493,0.9978668896594123
ill_scaled,openmp,fp64,1.0,50000000,8,0.0437125449999999,0.045587376,0.045567619874999965,0.0010949707577858731,0.04497952474999997,0.04642079575,0.044018121599999904,0.046845978099999935,0.0433009649999999,0.044782950499999905,0.9905843963100295,0.98235420481319
ill_scaled,openmp,fp64,2.0,1000000,8,0.0003703,0.00051152449999995,0.0008177001249999376,0.0009263389430643226,0.00041882324999990004,0.000594952999999925,0.000379831549999965,0.0022413062499999337,0.000768372,0.0008610564999999,2.0749986497434514,1.6833142889538704
